Location,Municipal Levy per Capita,Municipal Contribution,% Income from Municipality,Provincial Contribution per Capita,Provincial Revenue Total (CHT),% Income from Province,Other Revenue Total,Total Revenue,Population Served,Establishment Grant
Bette Winner Public Library,$29.28,"$39,000.00",59,$13.38,"$17,822.00",27,"$9,127.00","$65,949.00","1,332",
Bibliothèque Allard Regional Library,$9.66,"$45,110.55",36,$11.07,"$51,703.50",41,"$29,995.00","$126,809.05","4,671",
Bibliothèque Montcalm Library,$7.64,"$10,000.00",34,$12.61,"$16,500.00",56,"$3,073.00","$29,573.00","1,309",
Bibliothèque Pere Champagne Library (Obsolete),$8.49,"$5,800.00",18,$16.88,"$11,532.00",37,"$14,211.00","$31,543.00",683,
Bibliothèque Ritchot Library,$4.30,"$23,560.00",42,$5.24,"$28,694.00",51,"$4,051.00","$56,305.00","5,478",
Bibliothèque Saint-Joachim Library,$8.50,"$44,183.00",42,$9.75,"$50,683.00",48,"$10,051.00","$104,917.00","5,198",
Bibliothèque Somerset Library (Obsolete),$17.08,"$7,500.00",38,$23.31,"$10,231.50",52,"$1,974.00","$19,705.50",439,
Bibliothèque St. Claude Library,$18.64,"$11,000.00",36,$19.52,"$11,515.00",38,"$8,046.00","$30,561.00",590,
Bibliothèque Ste Anne Library,$12.30,"$20,000.00",28,$12.50,"$20,321.00",29,"$30,881.00","$71,202.00","1,626",
Bibliothèque Taché  Library,$4.25,"$43,711.00",39,$4.88,"$50,207.00",45,"$18,905.00","$112,823.00","10,284",
Boissevain & Morton Regional Library,$38.77,"$88,000.00",42,$10.92,"$24,795.00",12,"$95,839.00","$208,634.00","2,270",
Border Regional Library,$24.90,"$135,356.40",60,$11.54,"$62,706.00",28,"$26,340.00","$224,402.40","5,436",
Boyne Regional Library,$20.27,"$109,889.00",51,$9.51,"$51,578.50",24,"$54,902.00","$216,369.50","5,421",
Bren Del Win Centennial Library,$25.00,"$53,425.00",57,$13.65,"$29,164.50",31,"$11,235.00","$93,824.50","2,137",
Brokenhead River Regional Library,$10.02,"$77,765.22",47,$9.21,"$71,468.50",43,"$15,644.00","$164,877.72","7,761",
Churchill Public Library,$20.91,"$17,000.00",43,$16.50,"$13,410.50",34,"$9,037.00","$39,447.50",813,
Emerson Public Library,$8.53,"$5,721.50",30,$16.70,"$11,203.50",58,"$2,341.00","$19,266.00",671,
